Año,Mes,Código Presupuestal,"Fuente de 
Financiación",Recurso,Situado,Denominación del Rubro,Apropiación Inicial (0),Adiciones (a),Reducciones (b),Aplazamientos (c),Créditos (d),Contracréditos (e),Total Modificaciones Presupuestales (f) ,Apropiación Vigente (1),Certificados Acumulados (2),Compromisos Acumulados (3),Obligaciones Acumuladas (4),Pagos Acumulados (5)
2024,JUNIO,A,NACIÓN,10,CSF,FUNCIONAMIENTO,10647256000,0,0,0,0,0,0,10647256000,957541925.37,957531088.13,957531088.13,957531088.13
2024,JUNIO,A,PROPIOS,20,CSF,FUNCIONAMIENTO,119191849092,0,0,0,1197765733.39,1197765733.39,0,119191849092,90486693049.32,48436358381.59,37204271752.59,37149130418.25
2024,JUNIO,A-01,PROPIOS,20,CSF,GASTOS DE PERSONAL,75086750000,0,0,0,0,0,0,75086750000,67951810000,29082365043.43,27912721095.43,27912721095.43
2024,JUNIO,A-01-01,PROPIOS,20,CSF,PLANTA DE PERSONAL PERMANENTE,75086750000,0,0,0,0,0,0,75086750000,67951810000,29082365043.43,27912721095.43,27912721095.43
2024,JUNIO,A-01-01-01,PROPIOS,20,CSF,SALARIO,46310619000,0,0,0,0,0,0,46310619000,46310619000,19117364555.1,19117364555.1,19117364555.1
2024,JUNIO,A-01-01-01-001,PROPIOS,20,CSF,FACTORES SALARIALES COMUNES,46310619000,0,0,0,0,0,0,46310619000,46310619000,19117364555.1,19117364555.1,19117364555.1
2024,JUNIO,A-01-01-01-001-001,PROPIOS,20,CSF,SUELDO BÁSICO,32746596770,0,0,0,0,0,0,32746596770,32746596770,16389010592.01,16389010592.01,16389010592.01
2024,JUNIO,A-01-01-01-001-003,PROPIOS,20,CSF,PRIMA TÉCNICA SALARIAL,3873121232,0,0,0,0,0,0,3873121232,3873121232,1408031830,1408031830,1408031830
2024,JUNIO,A-01-01-01-001-004,PROPIOS,20,CSF,SUBSIDIO DE ALIMENTACIÓN,9087308,0,0,0,0,0,0,9087308,9087308,2461847,2461847,2461847
2024,JUNIO,A-01-01-01-001-005,PROPIOS,20,CSF,AUXILIO DE TRANSPORTE,7806018,0,0,0,0,0,0,7806018,7806018,2797200,2797200,2797200
2024,JUNIO,A-01-01-01-001-006,PROPIOS,20,CSF,PRIMA DE SERVICIO,2285097236,0,0,0,0,0,0,2285097236,2285097236,81507113.09,81507113.09,81507113.09
2024,JUNIO,A-01-01-01-001-007,PROPIOS,20,CSF,BONIFICACIÓN POR SERVICIOS PRESTADOS,1112719247,0,0,0,0,0,0,1112719247,1112719247,345022827,345022827,345022827
2024,JUNIO,A-01-01-01-001-008,PROPIOS,20,CSF,HORAS EXTRAS DOMINICALES FESTIVOS Y RECARGOS,195465972,0,0,0,0,0,0,195465972,195465972,50428803.61,50428803.61,50428803.61
2024,JUNIO,A-01-01-01-001-009,PROPIOS,20,CSF,PRIMA DE NAVIDAD,3542096589,0,0,0,0,0,0,3542096589,3542096589,40361656.39,40361656.39,40361656.39
